filename,image_id,annotation_id,label,category,center_x,center_y,at_edge,original_image,bbox_width,bbox_height
002_000005_hard_negative.png,2,5,0,hard_negative,1897,344,False,002.tiff,50.0,50.0
002_000006_mitosis.png,2,6,1,mitosis,4422,216,False,002.tiff,50.0,50.0
002_000007_mitosis.png,2,7,1,mitosis,1867,1583,False,002.tiff,50.0,50.0
002_000008_hard_negative.png,2,8,0,hard_negative,3808,2371,False,002.tiff,50.0,50.0
002_000009_mitosis.png,2,9,1,mitosis,5344,3277,False,002.tiff,50.0,50.0
002_000010_mitosis.png,2,10,1,mitosis,6267,3218,False,002.tiff,50.0,50.0
002_000011_hard_negative.png,2,11,0,hard_negative,7070,3816,False,002.tiff,50.0,50.0
002_000012_hard_negative.png,2,12,0,hard_negative,4475,4084,False,002.tiff,50.0,50.0
002_000013_mitosis.png,2,13,1,mitosis,4661,4319,False,002.tiff,50.0,50.0
002_000014_mitosis.png,2,14,1,mitosis,1331,4937,False,002.tiff,50.0,50.0
002_000015_hard_negative.png,2,15,0,hard_negative,4366,5238,False,002.tiff,50.0,50.0
002_000016_hard_negative.png,2,16,0,hard_negative,3708,5270,False,002.tiff,50.0,50.0
002_000017_mitosis.png,2,17,1,mitosis,1316,2783,False,002.tiff,50.0,50.0
002_000018_mitosis.png,2,18,1,mitosis,3531,2486,False,002.tiff,50.0,50.0
002_000019_hard_negative.png,2,19,0,hard_negative,4607,2361,False,002.tiff,50.0,50.0
002_000020_mitosis.png,2,20,1,mitosis,2197,3257,False,002.tiff,50.0,50.0
004_000046_mitosis.png,4,46,1,mitosis,2236,765,False,004.tiff,50.0,50.0
004_000047_hard_negative.png,4,47,0,hard_negative,2364,623,False,004.tiff,50.0,50.0
004_000048_mitosis.png,4,48,1,mitosis,374,332,False,004.tiff,50.0,50.0
004_000049_hard_negative.png,4,49,0,hard_negative,609,769,False,004.tiff,50.0,50.0
004_000050_hard_negative.png,4,50,0,hard_negative,4934,734,False,004.tiff,50.0,50.0
004_000051_hard_negative.png,4,51,0,hard_negative,1242,1436,False,004.tiff,50.0,50.0
004_000052_hard_negative.png,4,52,0,hard_negative,625,1122,False,004.tiff,50.0,50.0
004_000053_hard_negative.png,4,53,0,hard_negative,1095,1210,False,004.tiff,50.0,50.0
004_000054_hard_negative.png,4,54,0,hard_negative,3905,1035,False,004.tiff,50.0,50.0
004_000055_hard_negative.png,4,55,0,hard_negative,312,1707,False,004.tiff,50.0,50.0
004_000056_hard_negative.png,4,56,0,hard_negative,1560,1888,False,004.tiff,50.0,50.0
